"index ","country ","cases ","deaths ","serious ","critical ","recovered ","mystery ",""
"1","","","","","","","",""
"2","CASES","","","","","","",""
"3","448","4","","11","","","",""
"4","","","","","","","",""
"5","CANADA","","","","","","",""
"6","Ontario","185","0","","","5","Source",""
"7","British Columbia","103","4","","1","6","Source",""
"8","Alberta","74","0","","","","Source",""
"9","Quebec","50","0","","","","Source",""
"10","Nova Scotia","13","0","","","","Source",""
"11","Manitoba","7","0","","","","Source",""
"12","New Brunswick","7","0","","","","Source",""
"13","Saskatchewan","7","0","","","","Source",""
"14","Prince Edward Island","1","0","","","","Source",""
"15","Newfoundland & Labrador","1","0","","","","Source",""
"16","Northwest Territories","0","0","","","","",""
"17","Nunavut","0","0","","","","",""
"18","Yukon","0","0","","","","",""
"19","TOTAL","448","4","0","1","11","",""
