"index ","country ","cases ","deaths ","serious ","critical ","recovered ","mystery "
"1","","","","","","",""
"2","CASES","","","","","",""
"3","80,928","3,245","","70,420","","",""
"4","","","","","","",""
"5","MAINLAND CHINA","","","","","",""
"6","Hubei province (includes Wuhan)","67,800","3,130","2,274","","57,678","Source"
"7","Guangdong province","1,378","8","2","10","1,318","Source"
"8","Henan province","1,272","22","0","0","1,250","Source"
"9","Zhejiang province","1,233","1","1","1","1,217","Source"
"10","Hunan province","1,018","4","0","0","1,014","Source"
"11","Beijing","479","8","","","379","Source"
"12","Shanghai","363","3","2","8","326","Source"
"13","Other regions","7,385","69","","","7,238",""
"14","TOTAL","80,928","3,245","2,314","","70,420",""
"15","","","","","","",""
