"index ","country ","cases ","deaths ","serious ","critical ","recovered ","mystery ",""
"1","Updated throughout the day","","","","","","",""
"2","CASES","","","","","","",""
"3","5,223","96","","8","","","",""
"4","","","","","","","",""
"5","UNITED STATES","","","","","","Links",""
"6","New York","1,374","12","60","","","Source",""
"7","Washington","904","48","","","1","Source",""
"8","California","412","11","","1","1","Source",""
"9","Massachusetts","197","0","","","","Source",""
"10","Florida","192","6","","","","Source",""
"11","New Jersey","178","3","","","","Source",""
"12","Louisiana","171","4","","","","Source",""
"13","Colorado","160","1","","","","Source",""
"14","Georgia","146","1","","","","Source",""
"15","Illinois","105","0","","","2","Source",""
"16","Pennsylvania","96","0","","1","","Source",""
"17","Texas","57","0","","1","","Source",""
"18","Maryland","57","0","","","0","Source",""
"19","Minnesota","54","0","","1","","Source",""
"20","Michigan","54","0","","","","Source",""
"21","Tennessee","52","0","","","","Source",""
"22","Virginia","51","2","","","","Source",""
"23","Ohio","50","0","","","","Source",""
"24","Oregon","47","1","","","","Source",""
"25","Wisconsin","47","0","","","1","Source",""
"26","Diamond Princess (repatriated)","46","0","","","2","Source",""
"27","Nevada","45","1","","","","Source",""
"28","Connecticut","41","0","","","","Source",""
"29","North Carolina","40","0","","","","Source",""
"30","Utah","39","0","","","","Source",""
"31","South Carolina","33","1","","","","Source",""
"32","Indiana","30","2","","","","Source",""
"33","Alabama","29","0","","","","Source",""
"34","Iowa","22","0","","","","Source",""
"35","Kentucky","22","1","","","","Source",""
"36","Arkansas","22","0","","","","Source",""
"37","Grand Princess","21","0","","","","Source",""
"38","Rhode Island","21","0","","","","Source",""
"39","New Mexico","21","0","","","","Source",""
"40","Nebraska","18","0","","","","Source",""
"41","Arizona","18","0","","","1","Source",""
"42","Maine","17","0","","","","Source",""
"43","Kansas","16","1","","","","Source",""
"44","District of Columbia","16","0","","","","Source",""
"45","New Hampshire","13","0","","","","Source",""
"46","Mississippi","12","0","","","","Source",""
"47","Vermont","12","0","","","","Source",""
"48","South Dakota","10","1","","","","Source",""
"49","Oklahoma","10","0","","","","Source",""
"50","Hawaii","10","0","","","","Source",""
"51","Delaware","7","0","","","","Source",""
"52","Montana","6","0","","","","Source",""
"53","Missouri","6","0","","","","Source",""
"54","Puerto Rico","5","0","","","","Source",""
"55","Idaho","5","0","","","","Source",""
"56","Wuhan (repatriated)","3","0","","","","",""
"57","Guam","5","0","","","","Source",""
"58","Wyoming","3","0","","","","Source",""
"59","Alaska","3","0","","","","Source",""
"60","U.S. Virgin Islands","1","0","","","","Source",""
"61","North Dakota","1","0","","","","Source",""
"62","West Virginia","0","0","","","","",""
"63","American Samoa","0","0","","","","",""
"64","Northern Mariana Islands","0","0","","","","",""
"65","","190","0","","","","",""
"66","U.S. TOTAL","5,223","96","60","4","8","",""
"67","","","","","","","",""
